   text	   data	    bss	    dec	    hex	filename
     76	      0	      0	     76	     4c	tXUartPs_rKernelDomain_rProcessor1Migratable_tecsgen.o
    125	      0	      0	    125	     7d	t_perror.o
    128	      0	      0	    128	     80	target_kernel_impl.o
   2395	      0	      0	   2395	    95b	task.o
   3372	      0	      0	   3372	    d2c	task_manage.o
   1284	      0	      0	   1284	    504	task_refer.o
   3156	      0	      0	   3156	    c54	task_sync.o
   1740	      0	      0	   1740	    6cc	task_term.o
      0	      0	     16	     16	     10	taskhook.o
   3366	      0	      0	   3366	    d26	time_event.o
   1124	      0	      0	   1124	    464	time_manage.o
    464	      0	      0	    464	    1d0	vasyslog.o
   1911	      0	      0	   1911	    777	wait.o
